,NYCE_Area_Data_DETECT_1002.csv,NYCE_Area_Data_DETECT_1003.csv,NYCE_Area_Data_DETECT_1095.csv,NYCE_Area_Data_DETECT_1097.csv,NYCE_Area_Data_DETECT_1135.csv,NYCE_Area_Data_DETECT_114.csv,NYCE_Area_Data_DETECT_115.csv,NYCE_Area_Data_DETECT_1217.csv,NYCE_Area_Data_DETECT_1280.csv,NYCE_Area_Data_DETECT_1286.csv,NYCE_Area_Data_DETECT_1289.csv,NYCE_Area_Data_DETECT_1343.csv,NYCE_Area_Data_DETECT_1373.csv,NYCE_Area_Data_DETECT_1382.csv,NYCE_Area_Data_DETECT_1439.csv,NYCE_Area_Data_DETECT_1456.csv,NYCE_Area_Data_DETECT_1507.csv,NYCE_Area_Data_DETECT_1525.csv,NYCE_Area_Data_DETECT_159.csv,NYCE_Area_Data_DETECT_1601.csv,NYCE_Area_Data_DETECT_1695.csv,NYCE_Area_Data_DETECT_1788.csv,NYCE_Area_Data_DETECT_1793.csv,NYCE_Area_Data_DETECT_1877.csv,NYCE_Area_Data_DETECT_1922.csv,NYCE_Area_Data_DETECT_1958.csv,NYCE_Area_Data_DETECT_2021.csv,NYCE_Area_Data_DETECT_2063.csv,NYCE_Area_Data_DETECT_2074.csv,NYCE_Area_Data_DETECT_2150.csv,NYCE_Area_Data_DETECT_2177.csv,NYCE_Area_Data_DETECT_2181.csv,NYCE_Area_Data_DETECT_2254.csv,NYCE_Area_Data_DETECT_2263.csv,NYCE_Area_Data_DETECT_2270.csv,NYCE_Area_Data_DETECT_2272.csv,NYCE_Area_Data_DETECT_2276.csv,NYCE_Area_Data_DETECT_2287.csv,NYCE_Area_Data_DETECT_2290.csv,NYCE_Area_Data_DETECT_2298.csv,NYCE_Area_Data_DETECT_2299.csv,NYCE_Area_Data_DETECT_2301.csv,NYCE_Area_Data_DETECT_2303.csv,NYCE_Area_Data_DETECT_2306.csv,NYCE_Area_Data_DETECT_2307.csv,NYCE_Area_Data_DETECT_2309.csv,NYCE_Area_Data_DETECT_2310.csv,NYCE_Area_Data_DETECT_2311.csv,NYCE_Area_Data_DETECT_2312.csv,NYCE_Area_Data_DETECT_2313.csv,NYCE_Area_Data_DETECT_2314.csv,NYCE_Area_Data_DETECT_2318.csv,NYCE_Area_Data_DETECT_2322.csv,NYCE_Area_Data_DETECT_2328.csv,NYCE_Area_Data_DETECT_2341.csv,NYCE_Area_Data_DETECT_2345.csv,NYCE_Area_Data_DETECT_2390.csv,NYCE_Area_Data_DETECT_2401.csv,NYCE_Area_Data_DETECT_2410.csv,NYCE_Area_Data_DETECT_2411.csv,NYCE_Area_Data_DETECT_2416.csv,NYCE_Area_Data_DETECT_2417.csv,NYCE_Area_Data_DETECT_2426.csv,NYCE_Area_Data_DETECT_2429.csv,NYCE_Area_Data_DETECT_2435.csv,NYCE_Area_Data_DETECT_2440.csv,NYCE_Area_Data_DETECT_2441.csv,NYCE_Area_Data_DETECT_2442.csv,NYCE_Area_Data_DETECT_2451.csv,NYCE_Area_Data_DETECT_2458.csv,NYCE_Area_Data_DETECT_2468.csv,NYCE_Area_Data_DETECT_2472.csv,NYCE_Area_Data_DETECT_2473.csv,NYCE_Area_Data_DETECT_2474.csv,NYCE_Area_Data_DETECT_2490.csv,NYCE_Area_Data_DETECT_2491.csv,NYCE_Area_Data_DETECT_2493.csv,NYCE_Area_Data_DETECT_2496.csv,NYCE_Area_Data_DETECT_2501.csv,NYCE_Area_Data_DETECT_2503.csv,NYCE_Area_Data_DETECT_2504.csv,NYCE_Area_Data_DETECT_2510.csv,NYCE_Area_Data_DETECT_2511.csv,NYCE_Area_Data_DETECT_2512.csv,NYCE_Area_Data_DETECT_2513.csv,NYCE_Area_Data_DETECT_2515.csv,NYCE_Area_Data_DETECT_2524.csv,NYCE_Area_Data_DETECT_2528.csv,NYCE_Area_Data_DETECT_2530.csv,NYCE_Area_Data_DETECT_2540.csv,NYCE_Area_Data_DETECT_2541.csv,NYCE_Area_Data_DETECT_2544.csv,NYCE_Area_Data_DETECT_2560.csv,NYCE_Area_Data_DETECT_2562.csv,NYCE_Area_Data_DETECT_2565.csv,NYCE_Area_Data_DETECT_2567.csv,NYCE_Area_Data_DETECT_2568.csv,NYCE_Area_Data_DETECT_2571.csv,NYCE_Area_Data_DETECT_2575.csv,NYCE_Area_Data_DETECT_2578.csv,NYCE_Area_Data_DETECT_2606.csv,NYCE_Area_Data_DETECT_2607.csv,NYCE_Area_Data_DETECT_2610.csv,NYCE_Area_Data_DETECT_2614.csv,NYCE_Area_Data_DETECT_2634.csv,NYCE_Area_Data_DETECT_2636.csv,NYCE_Area_Data_DETECT_2639.csv,NYCE_Area_Data_DETECT_2644.csv,NYCE_Area_Data_DETECT_386.csv,NYCE_Area_Data_DETECT_400.csv
2023-05-01,0.5386111111111112,,,0.059722222222222225,1.9966666666666666,,0.12527777777777777,,0.5516666666666666,0.9680555555555556,0.4152777777777778,,1.0777777777777777,0.4558333333333333,,0.4452777777777778,0.32611111111111113,,1.6805555555555556,0.5105555555555555,0.2427777777777778,0.6108333333333333,,,0.7511111111111111,,0,,,,0.21,,0.23472222222222222,0.025277777777777777,0.8222222222222222,2.068888888888889,0.2025,0.08916666666666667,0.20722222222222222,0.0011111111111111111,1.7941666666666667,0.2644444444444444,0.40944444444444444,0.5925,0.21722222222222223,0.45166666666666666,0.08333333333333333,0.4305555555555556,0.029722222222222223,0.9211111111111111,0.4716666666666667,0,0.16777777777777778,0.28055555555555556,0,0.08222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10583333333333333,0.245
2023-05-02,0.4702777777777778,,,0.05444444444444444,0.7055555555555556,,0.13333333333333333,,0.6369444444444444,1.235,0.89,,0.7977777777777778,0.2777777777777778,,0.5658333333333333,0.18888888888888888,,1.511111111111111,0.6863888888888889,0.08055555555555556,0.4708333333333333,,,0.6311111111111111,,0,,,,0.19611111111111112,,0.6055555555555555,0.05611111111111111,0.8397222222222223,1.9430555555555555,0.24027777777777778,0.09722222222222222,0.32416666666666666,0.0038888888888888888,1.646111111111111,0.25194444444444447,0.4211111111111111,0.2827777777777778,0.2738888888888889,0.5222222222222223,0.059166666666666666,0.7158333333333333,0.03666666666666667,1.2252777777777777,0.5208333333333334,0.07777777777777778,0.7830555555555555,0.20805555555555555,0,0.13055555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1313888888888889,0.09305555555555556
2023-05-03,0.3461111111111111,,,0.07694444444444444,0,,0.16944444444444445,,0.49722222222222223,0.9977777777777778,0.6477777777777778,,1.0416666666666667,0.26861111111111113,,1.0766666666666667,0.5266666666666666,,1.1430555555555555,0.6977777777777778,0.22083333333333333,0.6316666666666667,,,0.7119444444444445,,0.007222222222222222,,,,0.23527777777777778,,0.21138888888888888,0.050833333333333335,0.8972222222222223,2.1955555555555555,0.15472222222222223,0.1413888888888889,0.7586111111111111,0,1.0888888888888888,0.35194444444444445,0.5916666666666667,0.3522222222222222,0.425,0.3113888888888889,0.059166666666666666,0.37416666666666665,0.028333333333333332,0.6138888888888889,0.7252777777777778,0.0025,0.13944444444444445,0.21833333333333332,0,0.10833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2152777777777778,0.07555555555555556
2023-05-04,0.2338888888888889,,,0.045,0,,0.19666666666666666,,0.42777777777777776,1.2233333333333334,0.5394444444444444,,1.4694444444444446,0.21388888888888888,,0.6394444444444445,0.4066666666666667,,1.0552777777777778,0.6602777777777777,0.13472222222222222,0.7488888888888889,,,0.9511111111111111,,0.04611111111111111,,,,0.31472222222222224,,0.13694444444444445,0.0775,1.0508333333333333,1.9827777777777778,0.35444444444444445,0.20472222222222222,0.14694444444444443,0,1.8666666666666667,0.39944444444444444,0.8125,0.415,0.2627777777777778,0.3894444444444444,0.04777777777777778,0.39055555555555554,0.41055555555555556,0.5258333333333334,1.3677777777777778,0,0.4486111111111111,0.21388888888888888,0,0.08083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11694444444444445,0.15944444444444444
2023-05-05,0.30194444444444446,,,0.07361111111111111,0.8888888888888888,,0.1325,,0.5205555555555555,1.1130555555555555,0.5891666666666666,,1.2758333333333334,0.2386111111111111,,0.5933333333333334,0.19722222222222222,,1.1225,0.4216666666666667,0.13055555555555556,0.3511111111111111,,,0.7091666666666666,,0.056666666666666664,,,,0.14722222222222223,,0.12416666666666666,0.051111111111111114,1.2872222222222223,1.9677777777777778,0.18694444444444444,0.06333333333333334,0.205,0.006111111111111111,1.7016666666666667,0.2411111111111111,0.9672222222222222,0.31222222222222223,0.19194444444444445,0.6930555555555555,0.03388888888888889,0.4313888888888889,0.01888888888888889,1.1513888888888888,0.3138888888888889,0.006111111111111111,0.13833333333333334,0.19305555555555556,0,0.1388888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48305555555555557,0.1075
2023-05-06,0.49944444444444447,,,0.06722222222222222,1.2619444444444445,,0.1322222222222222,,0.665,1.196388888888889,0.645,,0.8269444444444445,0.2411111111111111,,0.5738888888888889,0.21305555555555555,,1.2141666666666666,0.29444444444444445,0.08638888888888889,0.5827777777777777,,,0.7502777777777778,,0.09416666666666666,,,,0.18638888888888888,,0.2738888888888889,0.12333333333333334,1.4477777777777778,2.6727777777777777,0.15444444444444444,0.13472222222222222,0.11222222222222222,0,1.7058333333333333,0.2738888888888889,0.5238888888888888,0.3736111111111111,0.3475,0.58,0.050555555555555555,0.28055555555555556,0.014722222222222222,0.5594444444444444,0.6472222222222223,0,0.11666666666666667,0.2275,0,0.08694444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07833333333333334,0.12111111111111111
2023-05-07,0.7855555555555556,,,0.06055555555555556,1.8697222222222223,,0.22277777777777777,,0.5505555555555556,1.1752777777777779,0.9394444444444444,,1.478611111111111,0.3386111111111111,,0.5241666666666667,0.16972222222222222,,1.57,0.8205555555555556,0.09833333333333333,0.45222222222222225,,,1.3852777777777778,,0.04055555555555555,,,,0.14805555555555555,,0.11583333333333333,0.024722222222222222,0.8172222222222222,4.123888888888889,0.24388888888888888,0.06805555555555555,0.24694444444444444,0,0.5144444444444445,0.3852777777777778,0.5786111111111111,0.3088888888888889,0.21194444444444444,0.4052777777777778,0.04972222222222222,0.46416666666666667,0.022222222222222223,0.5294444444444445,0.5102777777777778,0.0,0.11388888888888889,0.22833333333333333,0,0.12361111111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16083333333333333,0.06305555555555556
2023-05-08,0.47805555555555557,,,0.06138888888888889,1.1030555555555555,,0.12111111111111111,,0.5041666666666667,1.8888888888888888,0.5372222222222223,,0.9636111111111111,0.2577777777777778,,0.6175,0.28194444444444444,,1.3497222222222223,0.9880555555555556,0.17916666666666667,0.3561111111111111,,,0.4872222222222222,,0.050277777777777775,,,,0.14277777777777778,,0.125,0.02638888888888889,1.0655555555555556,2.426388888888889,0.27416666666666667,0.08777777777777777,0.12861111111111112,0,0,0.3113888888888889,0.4575,0.6086111111111111,0.40055555555555555,0.5413888888888889,0.035833333333333335,0.35333333333333333,0.029722222222222223,0.7475,0.3422222222222222,0.0,0.09222222222222222,0.19777777777777777,0,0.13666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10805555555555556,0.055
2023-05-09,0.22,,,0.06388888888888888,2.017777777777778,,0.12861111111111112,,0.48694444444444446,1.0355555555555556,1.1727777777777777,,0.8430555555555556,0.29694444444444446,,0.38333333333333336,0.19166666666666668,,1.6519444444444444,0.2136111111111111,0.17333333333333334,0.4116666666666667,,,0.7666666666666667,,0.035277777777777776,,,,0.1575,,0.1811111111111111,0.065,2.9947222222222223,3.4516666666666667,0.2633333333333333,0.0625,0.5758333333333333,0.007222222222222222,0.9119444444444444,0.33416666666666667,0.4725,0.3466666666666667,1.2072222222222222,0.53,0.06638888888888889,0.3947222222222222,0.02,0.6072222222222222,0.46166666666666667,0,0.3561111111111111,0.31277777777777777,0,0.14555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12444444444444444,0.3358333333333333
2023-05-10,0.4677777777777778,,,0.10444444444444445,1.1411111111111112,,0.17583333333333334,,0.6552777777777777,0.9644444444444444,0.5608333333333333,,1.2816666666666667,0.19333333333333333,,0.5302777777777777,0.3277777777777778,,1.3163888888888888,0.8747222222222222,0.1288888888888889,1.2305555555555556,,,0.5202777777777777,,0.08333333333333333,,,,0.25472222222222224,,0.21805555555555556,0.03333333333333333,1.0794444444444444,2.1955555555555555,0.31555555555555553,0.04972222222222222,0.41833333333333333,0.0,2.035833333333333,0.32166666666666666,0.6316666666666667,0.5672222222222222,0.705,0.3672222222222222,0.05611111111111111,0.39666666666666667,0.03277777777777778,0.805,0.5758333333333333,0.0008333333333333334,0.6002777777777778,0.15944444444444444,0,0.3352777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15888888888888889,0.0661111111111111
2023-05-11,0.4583333333333333,,,0.03111111111111111,1.113611111111111,,0.1836111111111111,,0.6372222222222222,1.0794444444444444,0.9641666666666666,,1.6588888888888889,0.5636111111111111,,0.9138888888888889,0.125,,1.323888888888889,0.8091666666666667,0.34194444444444444,0.31583333333333335,,,0.7569444444444444,,0.05638888888888889,,,,0.21861111111111112,,0.21638888888888888,0.034722222222222224,0.9108333333333334,2.743611111111111,0.17305555555555555,0.08472222222222223,0.2911111111111111,0.004166666666666667,2.7680555555555557,0.26861111111111113,0.6186111111111111,0.16777777777777778,1.133888888888889,0.38166666666666665,0.051944444444444446,0.5769444444444445,0.052222222222222225,0.5527777777777778,0.515,0.0,0.12916666666666668,0.19416666666666665,0,0.3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12055555555555555,0.05472222222222222
2023-05-12,0.33416666666666667,,,0.06138888888888889,0.8788888888888889,,0.12583333333333332,,0.5675,0.8388888888888889,0.48333333333333334,,1.0786111111111112,0.31305555555555553,,0.40944444444444444,0.42583333333333334,,1.2994444444444444,0.8622222222222222,0.14083333333333334,0.32555555555555554,,,0.5747222222222222,,0.08888888888888889,,,,0.22111111111111112,,0.14027777777777778,0.049166666666666664,1.0380555555555555,2.9394444444444443,0.1686111111111111,0.08833333333333333,0.3527777777777778,0,1.1888888888888889,0.3541666666666667,0.49722222222222223,0,0.7602777777777778,0.45472222222222225,0.3258333333333333,0.5719444444444445,0,0.6119444444444444,0.4708333333333333,0.0,0.16916666666666666,0.2411111111111111,0,0.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13555555555555557,0.03666666666666667
2023-05-13,0.6191666666666666,,,0.07527777777777778,1.02,,0.19555555555555557,,0.5102777777777778,1.8105555555555555,0.6625,,1.8333333333333333,0.26694444444444443,,0.4658333333333333,0.09916666666666667,,1.2777777777777777,0.4216666666666667,0.20583333333333334,0.7219444444444445,,,0.25222222222222224,,0.10972222222222222,,,,0.6586111111111111,,0.415,0.060833333333333336,0.9055555555555556,2.465,0.2011111111111111,0.06222222222222222,0.16111111111111112,0.0016666666666666668,1.668611111111111,0.30583333333333335,0.45055555555555554,0,1.3602777777777777,0.39555555555555555,0.036944444444444446,0.40055555555555555,0,0.6655555555555556,0.47805555555555557,0,0.18416666666666667,0.3263888888888889,0,0.3111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1511111111111111,0.095
2023-05-14,0.6980555555555555,,,0.03361111111111111,1.068888888888889,,0.31416666666666665,,0.4697222222222222,1.9530555555555555,1.0452777777777778,,1.3544444444444443,0.33361111111111114,,0.5308333333333334,0.42388888888888887,,1.3094444444444444,0.2538888888888889,0.6927777777777778,0.7736111111111111,,,0.5719444444444445,,0.035277777777777776,,,,0.25027777777777777,,0.1761111111111111,0.043055555555555555,1.03,2.8925,0.30444444444444446,0.08777777777777777,0.15583333333333332,0.025833333333333333,1.0280555555555555,0.5055555555555555,0.7511111111111111,0,0.8402777777777778,0.6605555555555556,0.03361111111111111,0.3055555555555556,0,0.7386111111111111,0.5394444444444444,0.005555555555555556,0.22138888888888889,0.2286111111111111,0,0.10611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2013888888888889,0.04
2023-05-15,0.5363888888888889,,,0.0625,0.7247222222222223,,0.11361111111111111,,0.40305555555555556,0.8961111111111111,0.6730555555555555,,1.095,0.29138888888888886,,0.6486111111111111,0.19166666666666668,,1.9091666666666667,0.4663888888888889,0.3705555555555556,0.16083333333333333,,,0.4816666666666667,,0.06166666666666667,,,,0.2544444444444444,,0.16166666666666665,0.04777777777777778,1.2252777777777777,2.661111111111111,0.2925,0.20222222222222222,0.2863888888888889,0,3.8691666666666666,0.25027777777777777,0.3975,0,0.016666666666666666,0.32916666666666666,0.09444444444444444,0.37666666666666665,0,0.6086111111111111,0.435,0,0.22083333333333333,,0,0.09416666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07527777777777778,0.050833333333333335
2023-05-16,0.31472222222222224,,,0.050833333333333335,1.4822222222222223,,0.16916666666666666,,0.5266666666666666,1.126111111111111,0.5383333333333333,,0.9397222222222222,0.19194444444444445,,0.4558333333333333,0.12861111111111112,,1.291111111111111,0.5458333333333333,0.1852777777777778,0,,,0.3502777777777778,,0.043611111111111114,,,,0.15222222222222223,,0.1938888888888889,0.07777777777777778,0.8227777777777778,2.783611111111111,0.19694444444444445,0.12666666666666668,0.425,0.0038888888888888888,0.775,0.2866666666666667,0.19944444444444445,0,0.01611111111111111,0.5494444444444444,0.05333333333333334,0.6219444444444444,0,1.1225,0.48444444444444446,0,0.6047222222222223,,0,0.09694444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1175,0.04638888888888889
2023-05-17,0.4230555555555556,,,0.06,0.8716666666666667,,0.18888888888888888,,0.48194444444444445,0.8363888888888888,0.36833333333333335,,0.9011111111111111,0.25555555555555554,,0.8080555555555555,0.16083333333333333,,1.423888888888889,0.37805555555555553,0.14722222222222223,0,,,0.5677777777777778,,0.07111111111111111,,,,0.12611111111111112,,0.26861111111111113,0.05638888888888889,0.73,3.4119444444444444,0.3663888888888889,0.19833333333333333,0.7211111111111111,0,1.371388888888889,0.4172222222222222,0.45055555555555554,0,0.012222222222222223,0.5113888888888889,0.030833333333333334,0.3438888888888889,0,0.5411111111111111,0.54,0,0.15527777777777776,0.4330555555555556,0,0.07083333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1711111111111111,0.04027777777777778
2023-05-18,0.29833333333333334,,,0.05527777777777778,0.7525,,0.16777777777777778,,0.45166666666666666,1.0577777777777777,0.7902777777777777,,1.3841666666666668,0.2772222222222222,,2.4125,0.3325,,1.0458333333333334,0.3811111111111111,0.35583333333333333,0,,,0.19527777777777777,,0.03972222222222222,,,,0.10944444444444444,,0.18833333333333332,0.09305555555555556,1.8897222222222223,2.379722222222222,0.17888888888888888,0.085,0.2752777777777778,0.004166666666666667,2.1455555555555557,0.2697222222222222,0.3194444444444444,0,0.008888888888888889,0.45305555555555554,0.03805555555555556,0.2997222222222222,0,0.8305555555555556,0.3219444444444444,0.0011111111111111111,0.38916666666666666,0.37972222222222224,0,0.04694444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13277777777777777,0.06444444444444444
2023-05-19,0.20944444444444443,,,0.035833333333333335,0.9766666666666667,,0.16,,0.46555555555555556,1.1797222222222221,0.6152777777777778,,0.7141666666666666,0.24916666666666668,,1.7897222222222222,0.22444444444444445,,1.666388888888889,0.29555555555555557,0.0811111111111111,0,,,0.4066666666666667,,0.04416666666666667,,,,0.16277777777777777,,0.2777777777777778,0.06777777777777778,1.6891666666666667,1.8927777777777777,0.17555555555555555,0.2891666666666667,0.37416666666666665,0.0,1.0572222222222223,0.3055555555555556,0.30722222222222223,0,0.013333333333333334,0.3661111111111111,0,0.29055555555555557,0.009166666666666667,0.7516666666666667,0.6952777777777778,0.0,0.14916666666666667,0.4791666666666667,0,0.2863888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42277777777777775,0.010277777777777778
2023-05-20,0.46305555555555555,,,0.06694444444444445,0.8716666666666667,,0.16777777777777778,,0.6455555555555555,1.1088888888888888,0.42194444444444446,,1.0766666666666667,0.7022222222222222,,1.9922222222222221,0.4077777777777778,,1.6916666666666667,0.3263888888888889,0.07583333333333334,0,,,0.9305555555555556,,0.09111111111111111,,,,0.20083333333333334,,0.3525,0.01972222222222222,0.9794444444444445,2.2088888888888887,0.14194444444444446,0.10472222222222222,0.19583333333333333,0,1.0430555555555556,0.2763888888888889,0.3186111111111111,0,0.01888888888888889,0.28888888888888886,0.0,0.2911111111111111,0.035277777777777776,0.8922222222222222,0.6022222222222222,0,0.15805555555555556,0.4330555555555556,0,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08388888888888889,0.010555555555555556
2023-05-21,0.6341666666666667,,,0.03861111111111111,1.745,,3.8369444444444443,,0.4708333333333333,1.9252777777777779,0,,0.9813888888888889,0.88,,2.201111111111111,0.3236111111111111,,1.2755555555555556,0.40944444444444444,0.10805555555555556,0,,,0.45611111111111113,,0.06194444444444445,,,,0.22194444444444444,,0.2325,0.08944444444444444,0.8711111111111111,2.5147222222222223,0.21194444444444444,0.06194444444444445,0.18416666666666667,0.008611111111111111,1.0369444444444444,0.2633333333333333,0.3827777777777778,0,0.008055555555555555,0.46555555555555556,0,0.3186111111111111,0.05277777777777778,0.7033333333333334,0.4816666666666667,0,0.17833333333333334,0.6111111111111112,0,0.06777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17527777777777778,0.028888888888888888
2023-05-22,0.37083333333333335,,,0.03277777777777778,1.0944444444444446,,0.11555555555555555,,0.5622222222222222,1.4772222222222222,0.4036111111111111,,1.1847222222222222,1.0566666666666666,,2.6755555555555555,0.20972222222222223,,1.6497222222222223,0.45805555555555555,0.11861111111111111,0,,,0.4625,,0.07,,,,0.2452777777777778,,0.16055555555555556,0.7552777777777778,1.166111111111111,1.2761111111111112,0.21472222222222223,0.10805555555555556,0.3397222222222222,0.0,0.7219444444444445,0.44583333333333336,0.39861111111111114,0,0.01888888888888889,0.30444444444444446,0.04638888888888889,0.47,0.04777777777777778,0,0.4083333333333333,0.0,0.17333333333333334,0.4452777777777778,0,0.1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11888888888888889,0.036944444444444446
2023-05-23,0.26055555555555554,,,0.05527777777777778,1.5966666666666667,,0.10138888888888889,,0.5330555555555555,1.1505555555555556,0.7072222222222222,,1.0625,0.8519444444444444,,1.2891666666666666,0.41305555555555556,,1.668611111111111,0.5319444444444444,0.10333333333333333,0,,,0.48055555555555557,,0.06,,,,0.1338888888888889,,0.47888888888888886,0.23972222222222223,0.7241666666666666,2.556111111111111,0.15166666666666667,0.15694444444444444,0.20916666666666667,0.001388888888888889,5.749722222222222,0.25222222222222224,0.37722222222222224,0,0.029444444444444443,0.49805555555555553,0.06805555555555555,0.38027777777777777,0.03638888888888889,0,0.6025,0.0022222222222222222,0.17833333333333334,0.8080555555555555,0,0.0525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21055555555555555,0.08666666666666667
2023-05-24,0.42,,,0.045,1.1672222222222222,,0.11,,0.5444444444444444,1.3005555555555555,0.7094444444444444,,0.8997222222222222,1.1477777777777778,,1.3611111111111112,0.18611111111111112,,1.7819444444444446,0.35638888888888887,0.49666666666666665,0,,,0.5405555555555556,,0.059444444444444446,,,,0.19611111111111112,,0.17527777777777778,1.0347222222222223,0.7227777777777777,2.9344444444444444,0.3461111111111111,0.1225,0.2847222222222222,0.0022222222222222222,3.1838888888888888,0.29555555555555557,0.255,0.13777777777777778,0.009166666666666667,0.7594444444444445,0.03972222222222222,0.31777777777777777,0.026111111111111113,0.31055555555555553,0.43333333333333335,0,0.1313888888888889,0.8788888888888889,0,0.1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16111111111111112,0.05638888888888889
2023-05-25,0.4272222222222222,,,0.08027777777777778,0.9675,,0.21583333333333332,,0.7075,1.18,1.2869444444444444,,1.0291666666666666,1.1030555555555555,,1.9247222222222222,0.4683333333333333,,1.1669444444444443,0.8652777777777778,0.13472222222222222,0.23277777777777778,,,1.1883333333333332,,0.04583333333333333,,,,0.19333333333333333,,0.2675,0.21083333333333334,0.9541666666666667,1.7963888888888888,0.1663888888888889,0.06305555555555556,0.2425,0,4.115277777777778,0.3055555555555556,0.7016666666666667,0.3372222222222222,0.8061111111111111,0.4963888888888889,0.042222222222222223,0.2902777777777778,0.025833333333333333,0.7908333333333334,0.4727777777777778,0.002777777777777778,0.1613888888888889,0.83,0,0.10194444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09083333333333334,0.09861111111111111
2023-05-26,0.5408333333333334,,,0.06555555555555556,1.0777777777777777,,0.19333333333333333,,0.3958333333333333,1.0261111111111112,0.5919444444444445,,1.2525,0.7163888888888889,,1.368611111111111,0.1313888888888889,,1.9608333333333334,0.4816666666666667,0.07083333333333333,0.26611111111111113,,,0.355,,0.058611111111111114,,,,0.07527777777777778,,0.6922222222222222,0.21,1.2355555555555555,2.8963888888888887,0.13111111111111112,0.07861111111111112,0.16111111111111112,0,7.84,0.2777777777777778,0.7497222222222222,0.19777777777777777,0.8694444444444445,0.3088888888888889,0.31027777777777776,0.29555555555555557,0.024166666666666666,0.5297222222222222,0.6569444444444444,0.24916666666666668,0.21416666666666667,0.8627777777777778,0,0.11527777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17305555555555555,0.2263888888888889
2023-05-27,0.3711111111111111,,,0.04583333333333333,1.95,,0.11027777777777778,,0.4527777777777778,1.1747222222222222,0.47444444444444445,,0.9811111111111112,0.8344444444444444,,1.7091666666666667,0.1075,,1.4336111111111112,0.4866666666666667,0.15527777777777776,2.8627777777777776,,,0,,0.09055555555555556,,,,0.79,,0.21972222222222224,0.24916666666666668,0.8002777777777778,3.1125,0.20083333333333334,0.09888888888888889,0.22,0,1.3755555555555556,0.3511111111111111,0.6888888888888889,0.31027777777777776,0.7847222222222222,0.4672222222222222,0.04694444444444444,0.45805555555555555,0.012222222222222223,0.6983333333333334,0.47444444444444445,0.25583333333333336,0.041944444444444444,0.8263888888888888,0,0.11805555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11972222222222222,0.10916666666666666
