2023-01-30,0.03186972222222222,,,2.0277416666666666,0.17107499999999995,,0.426315,,1.5330572222222223,0.1501161111111111,2.274528333333333,0.9467044444444447,,,0.0,0.035473888888888895,0.010610555555555555,,2.918996666666667,0.0054511111111111114,0.002679166666666667,0.9659266666666668,,,,,0.9366975,,,,1.713254722222222,,0.5073397222222222,0.0,,0.0031358333333333334,9.489413333333333,6.227255833333334,5.496736944444445,3.9464419444444445,24.0,0.0720738888888889,0.0,0.07767805555555556,0.003781111111111111,4.113776111111111,24.0,0.30809777777777775,,1.9246405555555557,5.1022830555555565,5.248099999999999,1.9505927777777776,3.897284722222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9230458333333331,0.0
2023-01-31,0.4246244444444443,,,1.3338458333333334,0.3098991666666666,,1.8760069444444443,,4.707196388888889,1.6618000000000002,1.7642858333333333,2.399441111111111,,,0.0,0.014871111111111111,0.0,,3.7852124999999996,0.002482222222222222,0.5252461111111111,0.07942305555555554,,,,,1.0597775,,,,1.9637111111111114,,15.07419361111111,0.8851916666666665,,0.005902222222222222,11.5103525,9.07671138888889,3.982348055555556,3.599637222222222,24.0,0.5456922222222224,0.0,3.204340277777778,0.11941166666666668,2.084650277777778,24.0,2.719185833333333,,1.6509058333333333,3.5859905555555556,2.3666922222222224,0.5942286111111111,0.1497813888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.312539722222223,0.0
2023-02-01,3.1952205555555557,,,2.5540122222222226,0.19899444444444445,,3.2671947222222224,,6.5837408333333345,0.9976983333333334,7.882473611111111,0.12597722222222224,,,0.0,0.006365833333333334,0.0,,5.022800277777778,0.0021775,1.806581388888889,0.8383600000000001,,,,,0.5151925,,,,1.3280916666666664,,24.0,0.003645,,0.7954416666666666,3.4775930555555554,1.6100152777777779,4.191666944444444,0.7986894444444446,14.720116944444447,3.46464,0.0,0.8764730555555555,1.5546519444444444,2.4719708333333332,24.0,3.568170833333333,,3.3164736111111113,4.872464444444445,3.4250788888888883,3.0987844444444446,0.7322255555555557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9509619444444448,0.0
2023-02-02,0.47611499999999995,,,1.2464633333333335,0.24924611111111108,,0.20167749999999998,,7.625868611111111,0.991495,4.8945625,3.5194466666666666,,,0.0,0.15671388888888887,0.0,,3.6528105555555554,0.0,0.35774611111111104,0.1729508333333333,,,,,0.014126666666666666,,,,2.0570147222222226,,24.0,0.019329166666666665,,2.4040958333333333,5.705158611111111,4.944622777777778,14.741121666666665,6.258642222222223,3.551435,0.08041611111111113,0.0,5.588894166666666,0.08423861111111111,1.465126666666667,24.0,2.431080277777777,,1.786339444444445,3.0593516666666667,3.510110277777778,2.102977222222222,0.12422972222222221,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.485656111111111,0.0
2023-02-03,4.029203611111111,,,0.9683872222222223,0.5887105555555554,,4.2559474999999996,,7.43507138888889,4.4107747222222216,14.437266944444444,1.0538930555555557,,,0.0,1.486118611111111,0.017941666666666668,,3.1683327777777777,0.0,0.37707527777777783,1.3395500000000002,,,,,7.057278055555555,,,,1.9278647222222225,,24.0,0.035560833333333326,,0.1303227777777778,5.021063888888889,2.469606388888889,24.0,7.383748333333332,3.3626394444444445,0.25848027777777777,0.03381277777777778,0.3280166666666666,2.7712183333333336,1.5989975000000003,23.743588055555556,2.0901252777777777,,4.611522222222222,5.915090555555555,0.8298827777777777,3.9564625,0.4701988888888889,,0.09948888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5590008333333336,0.0
2023-02-04,0.006241944444444444,,,0.6326494444444444,0.13193638888888892,,2.2836516666666666,,4.008816388888889,4.427848333333334,24.0,0.9289763888888889,,,0.0,0.024940833333333336,0.0,,2.6796922222222226,0.0,0.07702027777777776,0.003252777777777777,,,,,1.9505011111111112,,,,1.778305,,24.0,0.0,,0.0083675,6.0813975,3.6234402777777777,15.011660833333334,1.440842222222222,0.0,0.10495416666666664,0.04730805555555555,2.726135,1.3772441666666668,0.8354122222222222,24.0,1.5415155555555553,,0.19721916666666664,3.161543888888889,3.3594727777777775,0.004966944444444444,0.40040861111111115,,0.037676666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7803319444444443,0.0
2023-02-05,7.572592222222222,,,2.778683055555555,0.2547997222222222,,1.0358,,5.428930000000002,1.3357133333333333,24.0,4.148857222222222,,,0.0,0.033377500000000004,0.0,,1.537358888888889,0.0,0.0016127777777777779,3.3418119444444443,,,,,0.009681388888888889,,,,12.343010555555557,,24.0,0.0,,0.06659083333333334,5.644678055555556,6.275715833333333,4.909553333333332,0.3443844444444445,1.0033769444444445,0.1662261111111111,0.0,0.7671636111111111,0.7158219444444445,1.436838611111111,24.0,0.9692922222222222,,6.954764722222222,7.622326111111112,1.2013774999999998,2.203968333333333,0.21836972222222223,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4620655555555556,0.0
2023-02-06,0.03404944444444444,,,1.0826669444444443,0.22388249999999996,,0.5953047222222223,,6.36006861111111,1.796139722222222,23.980221111111113,0.4993666666666666,,,0.0,0.04912638888888888,0.0,,4.940232777777777,0.0,0.9411277777777778,1.298078611111111,,,,,1.397026111111111,,,,11.733083888888888,,1.4833569444444443,0.0,,0.7911936111111113,6.13083,5.030029444444445,4.089408888888889,2.8883908333333337,1.6660383333333333,0.09091583333333333,1.6995452777777778,0.17703833333333335,0.3630516666666667,2.2687138888888887,24.0,2.8996966666666673,,3.1483633333333336,2.9316533333333332,1.0512758333333332,0.1093625,0.18035111111111113,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.928325555555555,0.0
2023-02-07,3.393419722222222,,,2.816713333333334,0.21614000000000003,,3.277439722222222,,6.672139166666667,0.898833611111111,24.0,1.6252219444444445,,,0.0,0.012191666666666667,0.0,,4.513411666666667,0.3115552777777778,0.3490516666666666,2.6684527777777776,,,,,5.776389166666666,,,,1.8376669444444445,,0.659503611111111,0.0,,1.047001388888889,8.899896944444444,3.234093611111111,6.531193888888889,3.695004444444444,1.1630577777777777,0.02989194444444445,0.14519416666666668,0.7944902777777778,0.08614638888888888,2.6060230555555557,20.76351638888889,3.813966111111112,,2.5454088888888893,3.920973888888889,3.9605261111111107,1.3666797222222222,0.047434444444444446,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.203480555555556,0.0
2023-02-08,4.125366666666666,,,1.0330513888888888,0.5286955555555556,,4.026093055555555,,4.3983227777777785,5.332415277777778,24.0,0.012864166666666668,,,0.0,0.006475,0.0,,6.032837777777777,0.0,0.006893333333333334,0.03761,,,,,0.003621666666666667,,,,1.3154052777777776,,0.0,0.0,,0.004351111111111111,5.616904444444444,2.0752466666666667,0.018922777777777778,0.8709808333333333,1.3106183333333332,1.5436719444444444,0.9418500000000002,1.584635,0.006795,1.3375136111111112,4.104220555555555,2.722033611111111,,3.591122222222222,5.0389325000000005,3.5081791666666664,1.5980572222222222,0.2848016666666667,,0.0008608333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.843304444444444,0.0
2023-02-09,3.738876666666666,,,2.3295549999999996,0.2435911111111111,,3.893863611111111,,5.473173888888889,2.8053383333333337,22.780534166666666,1.867265,,,0.0,0.006957499999999999,0.0,,5.576626111111111,0.0,0.18772277777777777,0.1802677777777778,,,,,3.5084413888888886,,,,1.7074533333333333,,0.4289072222222222,0.003466111111111111,,1.502135,7.559742222222223,2.839589444444444,1.3948816666666666,4.534914722222222,4.163466111111111,0.8167858333333333,2.0735816666666667,0.7258763888888888,0.6509155555555556,1.424948333333333,2.4787322222222223,3.4503222222222223,,6.202818333333334,5.302981388888888,6.357507222222223,2.510977222222222,0.45343500000000003,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3214355555555564,0.0
2023-02-10,2.706465833333333,,,0.5755622222222223,0.5235708333333332,,24.0,,8.53898638888889,2.1194299999999995,24.0,1.400521388888889,,,0.0,0.24164194444444445,0.022422777777777778,,15.922914166666667,0.002789166666666667,0.7407794444444444,0.7451858333333333,,,,,0.007987777777777778,,,,1.5862625,,0.05041305555555555,0.011706666666666667,,0.15414444444444442,9.208814166666665,4.856551944444444,0.07699694444444444,3.7395074999999998,3.168381666666667,0.18488527777777775,0.0025713888888888887,3.057421944444444,1.9834158333333334,5.108555833333333,5.004848055555556,3.8163761111111114,,2.540737777777778,2.3906463888888894,1.526520833333333,0.6188455555555555,0.01037,,0.09994333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2549119444444445,0.0
2023-02-11,0.12530750000000002,,,0.4034575,0.1682369444444445,,1.373666944444445,,4.0656083333333335,2.458419722222222,24.0,3.078273611111111,,,0.0,0.02013888888888889,0.0,,24.0,0.00847361111111111,0.0013613888888888888,0.07710444444444445,,,,,2.4422691666666667,,,,2.5688083333333336,,0.17322722222222223,0.0021997222222222223,,0.3263966666666667,7.690809166666667,3.8101216666666664,6.893498055555555,3.0342611111111113,0.0021622222222222225,0.029335833333333335,1.522958888888889,12.97983111111111,0.0,1.7303186111111113,7.292059722222222,1.6397372222222222,,3.563960833333333,3.2556441666666665,8.246439166666667,0.0028791666666666666,0.31568555555555555,,0.08804944444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8773097222222221,0.0
2023-02-12,0.5904124999999999,,,3.5144730555555554,0.07531305555555556,,0.6616194444444445,,4.850645833333333,0.005335277777777777,24.0,0.5769102777777777,,,0.0,0.008918055555555556,0.0,,24.0,0.0,2.3780830555555554,0.011895555555555555,,,,,3.546044722222222,,,,1.706636388888889,,0.2587286111111111,0.0,,0.0035269444444444445,8.616428333333333,7.158805277777779,0.0,7.8301549999999995,1.5356252777777777,1.172061666666667,0.01606027777777778,14.052213055555555,0.9482658333333335,2.920298888888889,0.08502611111111111,0.07622083333333335,,10.0323575,4.713190277777778,1.6475644444444446,0.01130861111111111,0.18087777777777778,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45816388888888887,0.0
2023-02-13,1.9047880555555552,,,1.0228833333333334,0.14604527777777776,,2.696492777777778,,2.2881922222222224,3.476977777777778,23.98057138888889,1.7286283333333334,,,0.0,0.05960166666666667,0.0,,20.2027475,0.0024716666666666663,1.7997997222222222,0.0,,,,,0.09246611111111112,,,,1.658298611111111,,0.19761972222222218,0.0,,0.1929588888888889,5.606326944444444,4.117573055555555,0.00405,5.378367222222222,2.0483313888888888,0.070405,0.04724833333333334,0.008566111111111111,0.6255424999999999,2.292683333333333,3.4643588888888894,13.49066138888889,,4.589460833333334,3.8148041666666668,1.0781391666666669,0.0032275,1.1925838888888887,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7665074999999995,0.0
2023-02-14,0.08303361111111111,,,1.4099444444444447,0.10775416666666668,,0.13368861111111113,,6.825476666666667,1.4159905555555556,24.0,2.237821111111111,,,0.0,0.005429166666666666,0.0,,2.095606111111111,0.0018583333333333331,0.1178011111111111,0.31267472222222226,,,,,12.304503888888888,,,,1.4385936111111113,,1.7630213888888888,0.0,,0.8423958333333333,6.454994722222223,2.9710305555555556,0.0,2.2249897222222224,4.136787777777777,0.028012777777777775,0.009527222222222222,10.89303111111111,2.243012777777778,3.8579544444444442,2.179600277777778,,3.7631694444444443,6.133987777777778,5.469731388888889,3.8067941666666667,4.053184444444445,0.16773722222222218,,0.08688166666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.518206944444445,2.8867055555555554
2023-02-15,1.6269025000000001,,,2.8772502777777778,0.36609916666666664,,4.518913888888889,,6.2067075,2.3615475000000004,23.992867500000003,0.04502444444444444,,,0.0,0.01798083333333333,0.028673333333333335,,2.169709166666667,0.014880833333333334,0.07223805555555554,0.8778925000000001,,,,,24.0,,,,1.3151588888888888,,0.05096749999999999,0.005425833333333334,,0.1579952777777778,8.256458055555555,2.935484166666667,4.273749166666667,0.5551225000000001,2.618998611111111,1.293272222222222,0.20745583333333334,16.535845555555557,2.6853461111111105,1.2350749999999997,0.005748055555555555,1.533116388888889,6.860279444444444,2.4188841666666665,3.611067222222222,4.14589638888889,1.5383519444444447,0.3630288888888889,,0.0009286111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.125714166666667,6.088065277777777
2023-02-16,3.2696633333333334,,,0.24568444444444443,0.34812444444444446,,0.0,,7.344453888888888,3.8126886111111107,23.981956111111113,1.5727019444444446,,,0.0,0.007492777777777777,0.0,,5.652543611111112,0.0,0.3699572222222222,1.2064144444444445,,,,,24.0,,,,1.2904488888888888,,0.04356416666666666,0.009900277777777779,,0.006625555555555555,12.272479444444444,3.205945555555556,7.115020555555555,1.5979575000000001,2.9396497222222226,0.04667805555555556,0.27897444444444447,0.14804444444444442,0.025086944444444446,2.2535427777777777,0.0015572222222222222,0.35992666666666673,7.52431388888889,7.439960833333332,1.8394658333333336,2.982088055555556,2.0957597222222226,0.17714222222222223,,0.03546055555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5859605555555556,6.599649444444444
2023-02-17,1.799555277777778,,,2.1343622222222223,0.3935944444444446,,4.132949444444445,,7.4480275,1.7191308333333333,20.49322833333333,1.8985133333333333,,,0.0,0.012610833333333333,0.09566666666666666,,1.3571591666666667,0.0,0.07896083333333334,0.11030666666666664,,,,,24.0,,,,1.6315461111111111,,0.7323891666666666,2.366833333333334,,0.09308888888888886,14.38403861111111,2.0232183333333333,4.913584444444445,5.83814,1.2583066666666665,0.17779999999999999,0.0,0.06467027777777778,1.1563925000000002,1.3445830555555554,0.0086125,2.1506294444444447,8.974067499999999,3.7092569444444448,1.5857930555555557,5.746583611111112,2.532393888888889,0.08668111111111113,,0.004907222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8848244444444444,6.765545833333333
2023-02-18,4.236574166666666,,,1.1942258333333333,0.05217833333333333,,2.698977222222222,,3.757240277777777,0.0009680555555555556,11.70151111111111,0.006076388888888888,,,0.0,0.012347777777777779,0.0,,2.2264958333333333,0.0,3.8078961111111114,0.7114672222222221,,,,,24.0,,,,1.8478088888888888,,0.0,3.4264855555555553,,0.009684166666666667,9.899235277777779,3.1495313888888887,10.825426944444445,17.684206666666665,0.8875550000000001,0.16072305555555558,0.0005472222222222222,0.2538380555555556,0.02605388888888889,2.309717222222222,0.005060555555555556,2.0021386111111115,5.756663888888889,4.945358055555556,1.0982086111111111,2.2230572222222227,3.4787125000000008,0.13761194444444444,,0.08402000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6367658333333335,5.028598055555556
2023-02-19,0.15118777777777778,,,0.831623611111111,0.2184033333333333,,0.0056124999999999994,,5.167435833333332,14.416765833333333,12.013392222222222,0.009585555555555555,,,0.0,0.008119166666666667,0.0,,6.834889166666667,0.0,0.0720775,0.3631088888888888,,,,,24.0,,,,10.373545277777778,,0.0,3.054733055555556,,0.006196388888888888,5.5527588888888895,4.5996427777777775,1.9357702777777777,23.986919166666667,0.0,0.15260694444444448,0.0006838888888888889,0.08819250000000001,0.1537936111111111,0.26969,0.0017947222222222223,0.03410388888888889,1.6259086111111112,4.5310825,4.0433075,0.02149833333333333,0.0,0.009471944444444444,,0.0029052777777777775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8642749999999999,0.12876166666666666
2023-02-20,1.6489927777777775,,,2.239841388888889,0.15685972222222222,,0.20587666666666668,,3.6148658333333334,24.0,9.042184444444445,14.008976666666667,,,0.0,0.06350083333333333,0.0,,6.3500466666666675,0.0,0.05643611111111111,1.1751638888888887,,,,,24.0,,,,1.7705572222222221,,0.05476138888888889,5.021300000000001,,0.004946111111111111,6.552880000000001,4.561143611111111,4.380762222222223,23.991759166666665,3.6248238888888893,1.3153972222222226,0.0,0.014040277777777778,2.45223,3.5746977777777778,0.48605611111111113,0.338335,7.054465555555556,6.473856944444444,4.7801275,3.233236944444444,0.2934958333333334,0.17798361111111113,,0.9633513888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0101061111111114,2.6491491666666658
2023-02-21,0.3743233333333334,,,1.3915930555555556,0.32629138888888864,,1.518733888888889,,7.0481275000000005,24.0,17.275781944444446,24.0,,,0.0,0.008073055555555556,0.0,,1.719073888888889,0.0035230555555555553,1.939818888888889,0.352055,,,,,24.0,,,,1.6846430555555556,,0.03910805555555555,3.6479347222222223,,0.006981944444444445,6.628912499999999,6.9666483333333336,0.01773444444444444,14.550693611111113,1.7355555555555553,1.449392222222222,0.0,2.1522444444444444,0.006635555555555555,2.119635277777778,2.262701388888889,3.826611944444444,2.9083969444444446,1.7557622222222222,5.032217222222223,2.852478888888889,1.0322908333333332,0.94358,24.0,1.958301388888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990816111111112,4.347598611111112
2023-02-22,1.3419533333333333,,,2.0672119444444443,0.8705480555555559,,0.6906008333333333,,4.902123055555554,24.0,24.0,16.770574722222225,,,0.13929777777777777,0.0,0.010504444444444446,,4.598484166666667,0.0,0.051470833333333334,0.01579777777777778,,,,,22.58012416666667,,,,1.7395825000000003,,0.23589111111111113,0.6210630555555555,24.0,0.2810013888888889,4.627654722222222,3.7470702777777776,3.523364722222222,0.004894722222222222,1.016271666666667,0.15510888888888885,0.002922777777777778,1.471972222222222,1.411088055555555,2.6556047222222228,1.1276422222222222,0.010461666666666666,6.586891111111111,2.9509955555555556,3.6354083333333334,0.02490138888888889,1.6984688888888888,0.016844444444444443,24.0,0.04513888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.841401944444444,4.186653333333332
2023-02-23,0.4296961111111111,,,0.27034777777777774,0.23274638888888888,,1.4404366666666666,,5.504390555555556,20.955505833333333,23.979804444444447,0.004204444444444444,,,0.0,0.0,0.0,,2.5786597222222225,0.001845,0.0027119444444444448,0.6567163888888887,,,,,23.84773055555555,,,,3.3988038888888896,,0.16059666666666667,1.8548325,,0.2503372222222222,3.6648963888888897,2.8140944444444442,0.5643472222222221,1.0152824999999999,2.2194183333333335,0.18011138888888895,0.0,0.010990833333333332,0.036845277777777775,2.8953836111111113,0.58117,0.4346447222222223,0.005789166666666666,2.1715991666666667,4.169665833333333,0.24674083333333335,2.1849772222222223,0.22484166666666666,24.0,0.09091972222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0327005555555555,2.5853369444444443
2023-02-24,1.9596911111111113,,,1.4388694444444443,0.20246666666666668,,1.7712011111111112,,5.738483055555557,0.0100825,24.0,3.3141950000000002,,,0.13830250000000002,0.007784166666666667,0.003853611111111111,,1.229483333333333,0.0,0.006079166666666667,0.008235277777777779,,,,,23.81496555555556,,,,1.9456252777777776,,0.10926111111111111,5.277258888888889,,0.035086111111111117,4.816094166666667,6.476940833333333,2.6973763888888884,2.3492855555555554,0.0034713888888888884,0.29855333333333334,0.0,0.056312777777777774,0.037922222222222225,3.5966944444444446,0.3132444444444445,0.4227541666666667,5.937421944444445,2.444042500000001,2.853981944444444,1.9938525,0.0029080555555555557,0.09992722222222222,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4147750000000001,4.166105833333333
2023-02-25,1.7174330555555557,,,0.6503524999999999,0.2726347222222223,,2.1877605555555557,,5.109136666666666,4.251466944444444,24.0,2.877078611111111,,,0.6985452777777778,0.005749722222222222,0.01660611111111111,,3.1402666666666663,0.0,4.9886888888888885,2.3370125,,,,,24.0,,,,2.581417777777778,,4.618584444444444,6.345491111111111,,0.08477944444444445,4.519971666666667,2.0136230555555557,5.4193058333333335,0.5706244444444445,2.440353888888889,0.13415972222222222,0.6190236111111111,0.31367972222222223,0.021803055555555558,3.9772622222222216,0.4130922222222222,0.16267055555555554,7.828605277777778,2.2596436111111116,4.2716675,0.1220536111111111,0.0010122222222222223,0.22932638888888887,24.0,0.0015541666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4497672222222224,2.669227222222222
2023-02-26,0.0046749999999999995,,,2.397295555555556,0.16616805555555558,,0.0020141666666666667,,3.400291944444444,1.1664611111111112,23.972449444444443,0.018348888888888887,,,0.0,0.004418333333333333,0.0,,6.738035555555556,0.0,0.003100833333333333,0.3857319444444445,,,,,23.941224444444444,,,,1.779521666666667,,5.523334444444445,3.5781266666666665,,0.08917333333333333,6.912980000000001,3.902429166666666,6.2493583333333325,4.200315277777778,1.7367349999999997,1.0346458333333333,0.13133666666666666,0.004290277777777777,0.009371388888888887,1.1551241666666667,1.0266483333333334,0.4742422222222223,2.9198841666666664,4.212798888888889,5.6315475,0.08913194444444443,0.003306388888888889,1.648713888888889,24.0,1.1380255555555554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2477544444444444,1.4538550000000001
2023-02-27,0.17610222222222224,,,1.0977291666666666,2.1876077777777785,,1.0612833333333334,,7.525656666666666,2.765106111111111,23.975045,0.0011583333333333333,,,0.0022444444444444443,0.04328861111111112,0.0,,4.501065277777777,0.0,0.1913775,0.05547333333333334,,,,,24.0,,,,1.9179244444444443,,2.030306111111111,4.390390277777778,,0.03271444444444444,6.304758055555555,4.969098611111112,2.3475427777777784,4.110705,2.1135366666666666,1.0608519444444442,0.0005466666666666668,0.09364972222222223,0.7888983333333333,6.394501666666667,2.8425352777777784,0.026330000000000003,2.82409,4.947090833333333,4.877556666666667,4.234548888888889,0.24859416666666667,1.1732208333333334,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9556674999999997,2.8211130555555552
2023-02-28,0.05540638888888888,,,1.5041402777777777,0.3544949999999998,,1.4559924999999998,,6.501376111111111,2.8935158333333337,24.0,0.010420833333333332,,,0.3609802777777778,0.0,0.016432222222222223,,3.522092777777778,0.0,1.8646677777777776,1.4458944444444446,,,,,24.0,,,,1.663767777777778,,3.9761430555555557,7.667104722222221,,0.9813194444444445,6.066497222222222,4.178906111111111,4.891348888888889,0.2703905555555556,4.624896388888889,2.0895013888888885,0.0,0.17811999999999995,0.08504972222222222,2.883051944444446,1.5744605555555555,2.8437219444444444,6.390163611111112,3.533231388888889,6.86489638888889,1.55467,0.40076277777777786,0.4276208333333333,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.564386944444445,18.253298055555554
2023-03-01,0.11902722222222221,,,4.0897225,1.6945402777777774,,0.20400194444444444,,6.289126111111111,3.1291305555555553,24.0,0.0105525,,,0.005993055555555556,0.09311722222222223,0.0,,3.569195,0.008281388888888888,1.3942861111111111,0.050685,,,,,23.92722416666667,,,,2.4512669444444444,,1.6562119444444445,2.506907777777778,,1.0866027777777778,5.575113888888889,5.708286666666667,5.760057222222222,2.3175794444444446,5.344404444444444,0.11872833333333332,0.001128888888888889,3.562399444444445,0.08578722222222222,5.751808888888889,1.3068311111111113,4.956120555555554,8.581784444444445,5.044562222222221,4.306307777777778,3.9879925,3.456068333333334,1.1503058333333334,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.635398055555555,24.0
2023-03-02,4.719115833333334,,,2.189786388888889,0.05089833333333334,,0.9814227777777778,,7.394295833333333,5.75400138888889,13.770018055555555,0.3380361111111111,,,0.0025897222222222224,0.018010833333333337,0.0,,1.885825277777778,0.006336666666666667,0.31615638888888886,0.006595833333333333,,,,,23.969274444444444,,,,3.0050061111111113,,4.9254758333333335,3.0440283333333342,0.7245027777777779,0.11034361111111111,9.336288055555556,3.2642155555555554,5.888406111111112,3.1511308333333337,3.827396111111111,1.0603452777777778,0.0,0.06300833333333333,1.2128883333333336,4.977367777777778,0.9417916666666667,3.1657547222222218,6.090625555555556,5.64175861111111,3.3307030555555555,5.837116111111111,2.065028611111111,0.3899775,24.0,0.051664999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.938347500000001,24.0
2023-03-03,4.8689197222222225,,,3.455606111111111,0.23877388888888879,,6.05636388888889,,4.2522675,4.154431111111111,0.0,1.0573255555555556,,,0.4042677777777777,0.004595555555555556,0.0,,1.3212133333333336,0.0,0.009116944444444445,5.273670277777778,,,,,22.981967777777786,,,,1.8928900000000002,,3.2810441666666668,4.125041666666666,0.6462175,0.0,10.658610555555555,1.140188888888889,0.0,6.208023888888889,3.3525027777777776,1.182631388888889,0.0,3.7246238888888894,0.03419861111111111,1.1257469444444446,4.691528333333334,2.6931927777777775,5.794641111111112,5.241051111111112,6.30978611111111,0.006180277777777778,6.116494444444444,1.750224722222222,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71335,24.0
2023-03-04,5.1994494444444435,,,0.2865475,0.43125750000000007,,4.944152777777778,,6.654938055555556,2.292821944444445,2.585503333333334,0.005325277777777778,,,0.0,0.011040555555555555,0.0,,2.201544722222222,0.0,0.048628611111111116,1.4325647222222222,,,,,9.298864444444442,,,,1.2668566666666665,,0.2182244444444445,3.6527836111111114,0.7012888888888887,0.004610555555555556,9.879569444444444,3.9614775000000004,1.3634402777777779,1.8288011111111109,2.183902222222222,0.106115,0.02579277777777778,0.11909888888888889,0.2081322222222222,6.359466111111109,6.198181666666667,1.1431666666666669,12.040670555555552,3.571384444444445,4.787178888888889,4.707525277777779,2.190523055555556,0.2985127777777778,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4233402777777777,24.0
2023-03-05,0.009228611111111111,,,3.3931738888888887,0.23881388888888896,,0.8872666666666666,,5.255278333333333,1.2959458333333336,0.0,0.007385277777777777,,,0.0,0.016934166666666667,0.0,,2.4078677777777773,0.0,0.021523333333333335,0.19929583333333334,,,,,6.847291666666664,,,,2.548838055555555,,0.0,2.549812777777778,0.7129027777777781,0.010203333333333333,7.445277777777778,2.799943611111111,6.0938405555555555,0.4665919444444444,3.112185,0.07148249999999999,0.0,0.5248702777777777,0.008845,0.6134561111111111,0.5134055555555556,1.4142544444444447,3.0297727777777776,7.345989444444445,1.9557961111111113,0.0028394444444444444,0.0013491666666666667,0.22561694444444444,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798711388888889,24.0
